jobs_id,jobs_name,jobs_description,jobs_min_compensation,jobs_max_compensation,count_apps_id
1803172,AFTERNOON SHIFT Cashier,"<div><strong>TITLE:</strong>                    <strong>AFTERNOON SHIFT Guest Service Representative </strong></div><div><strong>LOCATION:         Nothing bundt Cakes-Fairlawn</strong></div><div><strong>                                </strong>3900 Medina Rd Fairlawn, OH 44333</div><div>                                fairlawn-oh@nothingbundtcakes.com</div><div><strong> </strong></div><div>The Nothing Bundt Cakes (NbC) Guest Service Representative creates a warm, welcoming environment for our guests, offers creative solutions for unique celebratory occasions, and sells our delicious cakes. The Guest Service Representative is the first point of brand contact in our bakery and serves an essential role in engaging and bringing joy to our guests, creating a memorable experience, and leaving a positive, lasting impression. The Guest Service Representative embodies NbC core values and demonstrates a strong commitment to guest satisfaction as well as excellence and efficiency in the workplace.</div><div> </div><div><strong>Accountabilities/Duties: </strong></div><div> </div><div>·         Promptly greets guests with <strong>genuine warmth</strong> and <strong>helpful enthusiasm</strong> to create a <strong>superior guest experience</strong>.   </div><div>·         Maintains strong product knowledge to educate guests on NbC cake distinction, size and flavor profile options, pricing, special promotions, and complementary retail merchandise.   </div><div>·         Suggests additional merchandise, including balloons, candles, and cards, to complete a unique celebration. </div><div>·         Processes guest orders efficiently and accurately.</div><div>·         Invites guests to join NbC Email Club to benefit from special promotions and remain connected. </div><div>·         Upholds a clean and organized bakery presentation, which may include routine sweeping/mopping of the floor, dusting/cleaning of countertops, windows, and other surfaces, washing dishes / assisting Utility.</div><div>·         Replenishes retail merchandise and cake display case to ensure a strong visual presentation. </div><div>·         Assists the Crafter in preparing cake decorations and packaging supplies as needed. </div><div>·         Complies with all health and safety guidelines and NbC policies and procedures, including strict adherence to dress code and personal hygiene.  </div><div>·         Maintains a consistent work attendance and punctuality record.  </div><div>·         Performs other duties as assigned.</div><div> </div><div><strong>No experience necessary!  We will train the right person to be an awesome member of our team!</strong></div><div>Applicants must be 16 years of age or older.</div><div><strong> </strong></div><div><strong> </strong></div><div><strong>Work Availability: </strong>Hiring FULL and PART time <strong>AFTERNOON SHIFT</strong> Guest Service Representatives:  2/3:00 pm- 7:30 pm</div><div> </div><div>We request the flexibility to work various shifts on occasion, including early mornings, evenings, weekends, and holidays, as well as special events outside the bakery, based on changing business demands. We are currently closed on Sundays, Thanksgiving Day, Christmas Day, and New Year’s Day.</div><div> </div><div><strong>We want YOU to be a part of our recipe!</strong></div><div><strong>SWEET PERKS!</strong></div><div>Employee Discounts!  Contests and Incentives! Bonuses! Health, Vision, and Dental for FT employees.</div><div> </div><div> </div><div><strong>Do you have AMBITION beyond the baking? SUCCESS is BAKED IN with opportunities for CAREER GROWTH!</strong></div><div>Interested applicants may seek career advancement as a Key Holder/Lead GSR!</div><div><strong> </strong></div><div><strong>Compensation: </strong>$10.50-12.50 per hour (based on prior experience/interest in leadership opportunities)</div><div> </div><div><strong>Join Our Growing Family</strong></div><div>From “Happy Birthday” to “Just Because,” Nothing Bundt Cakes is committed to bringing joy to our guests and our communities and helping make every celebration sweeter! Each bakery offers a warm and welcoming work environment with team members who embody this joy-filled brand and possess a Servant’s Heart, the Spirit of a Champion, and the ability to make Genuine Connections </div>",1050,1250,20
1759517,AM cashier,"<div>Taking customer's food orders, handling cash, making milkshakes and drinks. Customer interaction, working with college students. Mon-Fri. 10AM-4:30pm</div>",1100,1200,1
1759553,AM cashier,"<div>Taking customer's food orders, handling cash, making milkshakes and drinks. Customer interaction, working with college students. Mon, Wed, Fri. 10AM-4:30pm</div>",1050,1200,3
1592494,AM Cashier,"<div><strong>*WE ARE MORE THAN JUST A WORKPLACE…*<br></strong><br></div><div>We love what we do! As leaders in the area’s hospitality industry, our company is rooted in a strong, caring culture steeped in rich history and respect.<br><br></div><div>Joining our team means being a part of a flourishing, culturally diverse, and dynamic group of people focused on creating lasting memories. You will find your work rewarding as YOU make the difference to each of our guests. This is a place where friendships blossom and careers soar. As a company, we continue to grow and we hope you’ll grow with us.<br><br></div><div><strong>Cashier responsibilities include, but are not limited to:<br></strong><br></div><ul><li><strong>Must be available to work 6:00am - 12:00pm</strong></li><li>Greeting guests politely and enthusiastically as they enter the restaurant</li><li>Courteously and consciously guiding guests to their assigned tables</li><li>Monitoring guest waiting lists</li><li>Estimating guest wait times</li><li>Politely answering the telephone and responding to customer questions</li><li>Taking and assembling any To-Go orders, both on the telephone and in person</li><li>Ensuring the cleanliness of the restaurant lobby, as well as the restrooms</li></ul><div><strong>What are we looking for?<br></strong><br></div><ul><li>Willing to assist co-workers as needed</li><li>Must be able to communicate clearly and professionally with guests, coworkers and supervisors</li><li>Must have reliable transportation</li><li>Must have positive attitude while performing tasks</li><li>Must be able to stand for long periods of time</li><li>Performs all duties and responsibilities in a timely and efficient manner in accordance with company policies and procedures</li><li>Projects a favorable image of the property to the public at all times by following the property’s grooming and dress standards</li><li>Strong attention and care to details</li><li>Responsibility, reliability and honesty</li><li>Teamwork and collaboration</li></ul><div><strong>What can you look forward to?</strong></div><div>Qualifying team members may enjoy the following benefits:<br><br></div><ul><li>Health Plan, Health Savings Account, and Life Insurance benefit</li><li>Dental Plan</li><li>Paid Time Off and Bereavement Leave</li><li>401(k) retirement plan with company match</li><li>Vision</li><li>Long Term Care, Critical Illness, and Accident</li><li>Short-Term Disability</li><li>Personal Cancer Protection</li><li>Jury Duty Pay</li><li>Tuition Reimbursement</li><li>Resort Accommodation Discounts</li></ul><div>Want to know more? Visit our website at www.brittainhospitality.com!<br><br></div><div>Due to the cyclical nature of the hospitality business, team members may be required to work varying schedules to reflect the business needs of the resort, including weekends and holidays.<br><br></div><div><em>We are an Equal Opportunity Employer of all qualified individuals, including minorities, women, veterans &amp; individuals with disabilities. We participate in E-Verify.<br></em></div>",1000,1100,4
1767977,Assistant Baker and Cashier,"<div>The Nothing Bundt Cakes (NbC) Assistant Baker partners with the Baker to ensure that cakes of the highest quality are consistently created for our guests and contributes to superior service by meeting production demands. Following strict proprietary recipes, NbC production methods, and food safety standards, the Assistant Baker helps the Baker perform the repeated baking process for our delicious cakes offered in a variety of flavors and sizes. The Assistant Baker embodies NbC core values and demonstrates a strong commitment to excellence and efficiency in the workplace.<br><br>The Nothing Bundt Cakes (NbC) Guest Service Representative creates a warm, welcoming environment for our guests, offers creative solutions for unique celebratory occasions and sells our delicious cakes. The Guest Service Representative is the first point of brand contact in our bakery and serves in an essential role to engage and bring joy to our guests, create a memorable experience and leave a positive, lasting impression. The Guest Service Representative embodies NbC core values and demonstrates a strong commitment to guest satisfaction as well as excellence and efficiency in the workplace.</div><div> </div><div><strong>Accountabilities/Duties: </strong></div><ul><li>Follows NbC proprietary recipes and cake production methods with precision and achieves productivity goals.</li><li>Effectively utilizes measuring instruments, commercial-grade mixers and ovens, and other tools to bake cakes.</li><li>Assists baker with accurately preparing raw ingredients and equipment for baking places cake pans into a hot oven and monitors the baking process.</li><li>Assists baker with daily baking and production flow and processes</li><li>Adheres to the proper packaging, labeling and storage of baked cakes as well as product rotation standards, and maintains baking and refrigeration logs.</li><li>Cleans, sanitizes, and restocks workstation and assists baker to ensure all baking supplies are sufficiently prepared for the next shift.</li><li>Complies with all health and safety guidelines and NbC policies and procedures, including strict adherence to dress code and personal hygiene.</li><li>Maintains a consistent work attendance and punctuality record.</li></ul><div><strong>Education, Certifications, and Work Experience Requirements:</strong></div><ul><li>Applicants must be 18 years of age or older.</li><li>While no formal education or work experience is required, previous experience as a Baker or in another operational support role at a bakery, restaurant, or foodservice environment is a plus.</li></ul><div> </div><div><strong>Work Availability:</strong></div><div>Must have the flexibility to work various shifts, including early mornings, evenings, weekends, and holidays, based on changing business demands.</div><div> </div>",1100,1300,35
1768815,Automotive Cashier,"<div><strong>Benefits/Perks</strong></div><ul><li>Careers Advancement Opportunities </li><li>Flexible Scheduling</li><li>Competitive Compensation</li></ul><div> </div><div><strong>Company Overview</strong></div><ul><li><em>What does your company do?</em></li><li><em>Why should job seekers want to work for your company?</em></li><li><em>What is your company passionate about?</em></li></ul><div> </div><div><strong>Job Summary</strong></div><div>We’re seeking a friendly automotive cashier with a winning attitude to join our car dealership team! Our ideal candidate has solid mathematical and computer skills and can multitask effectively in a busy service center. Previous work experience taking payments, preparing invoices, and balancing registers are helpful. We need an eager candidate who is poised to provide excellent customer service and communication skills to interface with our customers, accounting team, and service technicians. We support our team members with competitive wages and ample opportunities to grow. Start the application process today to begin a rewarding career in the automotive industry!</div><div> </div><div><strong>Responsibilities </strong></div><ul><li>Assume responsibility for cash register and cash control to ensure that all amounts are correct</li><li>Print receipts for customers, reconcile billing problems, issue refunds, and answer questions related to the cost of services</li><li>Provide exemplary customer service while efficiently and professionally fielding phone calls to deliver a positive buyer experience</li><li>Proactively resolve and reconcile unpaid, declined, or outstanding service payments and document transactions in the dealership computer system</li><li>Interpret and articulate costs and fees to customers to ensure a thorough understanding of the amount owed</li><li>Assist with general front desk clerical duties such as managing office supply inventory, keeping the cashier window area clean, and patching callers through to the appropriate contacts</li><li>Greet customers with a smile, maintain a professional appearance, escalate customer complaints to the service advisor if needed</li></ul><div> </div><div><strong>Qualifications</strong></div><ul><li>A high school diploma or GED equivalent is required</li><li>Experience handling money and payments in a service cashier role preferred</li><li>Possess a valid driver's license</li><li>Must be detail-oriented with a keen ability to read and understand written and verbal directions</li><li>Mathematical skills including addition, subtraction, multiplication, and division are needed to calculate invoices</li><li>Strong cash register, clerical, and basic computer skills are a must</li><li>Excellent customer service skills and a passion for working with people is essential</li></ul>","","",1
1704849,Automotive Cashier Receptionist,"<div><br>S. Tech Automotive of Wilmington is seeking an energetic, team minded and dependable individual for entry level Service Cashier/Receptionist. The successful candidate will be instrumental in providing the ultimate customer experience. Working as part of a team, you will be responsible for greeting service customers, answering service calls, cashing out customers, maintaining a cash drawer, scanning service documents and providing general departmental support as required.<br><br><br>Responsibilities and Qualifications:<br><br></div><ul><li>Assist the fast-paced service team</li><li>Greet customers as they enter the office in a professional and welcoming manner</li><li>Answer incoming service calls</li><li>We need someone who can jump in and start right away</li><li>Process payments, maintain transaction records and balance cash drawer</li><li>Applicants must be reliable, dependable and truly seeking an opportunity to work</li><li>Maintain personal appearance standards set by the manager</li><li>Ability to sometimes multitask in a fast paced work environment</li></ul><div><br><strong>Call </strong><a href=""tel:+1-484-434-2624""><strong>3</strong></a><strong>02-276-2739 to arrange an interview.</strong><br><br></div><div></div>",1500,"",68
1754145,Automotive Customer Service Greeter / Cashier,"<div><strong>Company Overview</strong></div><div>Founded in 1978 and headquartered in Denver, Colorado, the Grease Monkey® brand currently operates more than 300 centers internationally with operations in Mexico, China, Colombia and Saudi Arabia. Grease Monkey® is the nation’s largest independent franchisor of automotive oil change centers and is looking to expand in 2021 by opening 30+ new locations. Grease Monkey® International, LLC is the nation’s largest independent franchisor of automotive oil change centers serving more than 2 million customers each year.</div><div>Our Grease Monkey® Certified Pit Crews offer customers a service experience that is unrivaled in the automotive industry. Our highly trained technicians are certified using our proprietary Grease Monkey® Technician Training &amp; Certification Program. Grease Monkey® certified pit crews offer drivers an exceptional experience, delivered with speed and precision.</div><div><strong>Position Overview </strong></div><div>The Customer Service Specialist is responsible for all aspects of customer service in a Grease Monkey center, and light clerical duties. This is an hourly position. </div><div><strong>Essential Duties and Responsibilities </strong></div><div><strong>Provide Exceptional Customer Service </strong></div><ul><li>Maintain communications with waiting customers, keep them informed of wait times, answer questions. Answer telephone, direct calls, and answer customer inquiries. </li><li> </li><li>Educate customers regarding the condition of fluids and filters, services available, promotions, and product guarantees. </li><li>Remind customers to submit feedback about their visit. </li><li>Thank all departing customers, remind them to return. </li><li>Review Service Order Ticket thoroughly with customers at check-out, explain services performed, purpose of static sticker, and reminder card.</li><li>Process all payments using the computer system and credit card machine. </li><li>Perform courtesy work when needed. </li><li>Assist manager in resolving customer complaints. </li></ul><div><strong>Maintain Customer Waiting Area </strong></div><ul><li>Make coffee; keep fresh coffee available at all times. </li><li>Clean and straighten the coffee service area. Clean and straighten waiting room chairs and tables. Clean waiting area restrooms, and stock restroom supplies a minimum of three times during the day. </li><li>Stock and maintain current reading materials ensuring it is appropriate for children. Stock supply of cups, creamer, sugar, and stirrers. </li></ul><div><strong>Maintain Front Office Area </strong></div><ul><li>Clean and straighten countertop and desk. Clean computer and equipment. File and organize paperwork (assist manager). </li><li>Stock Service Order Tickets. </li><li>Input vendor shipments on computer</li></ul><div><strong>Other Duties and Responsibilities </strong></div><ul><li>Place customer quality assurance calls, write customer thank you notes. </li><li>General center maintenance and cleaning duties. </li><li>Attend crew meetings as required. </li><li>Run errands and perform other duties as assigned by a Supervisor. </li></ul><div><strong>Job Qualifications </strong></div><ul><li>Excellent customer service skills </li><li>Basic literacy (ready, writing, math skills), Verbal and written communication skills, Keyboarding skills, Beginning computing skills </li><li>Attention to detail and accuracy </li><li>Previous customer service and general office experience necessary </li></ul><div><strong>Working Conditions </strong></div><div><strong>Equipment Used:</strong> Computer. Environment: Some exposure to outside weather elements, noise, and vehicle exhaust fumes throughout the entire shift. </div><div><strong>Physical Activities:</strong> Position requires good corrected vision, hearing, frequent standing, walking, climbing, stooping, crouching, handling, reaching, and keyboarding.</div><div><strong>Benefits/Perks</strong></div><ul><li>Discounted Services for Employees</li><li>Flexible Hours</li><li>Opportunities for Advancement</li></ul>",900,1200,84
1803688,Bakery Cashier / Guest Service Representative,"<div><strong>FUTURE OPENING <br></strong><br><strong>JOIN OUR TEAM.  NO EXPERIENCE REQUIRED.  (Part Time or Full Time)   </strong></div><div><strong>Store Hours</strong>: Monday - Saturday 9:00 am – 6:30 pm; Sunday Closed</div><div><strong>Location</strong>: 19399 Forest Road, Lynchburg, VA 24502</div><div><strong> </strong></div><div><strong>Sweet Perks:</strong></div><div>·         Joyful Working Environment</div><div>·         Flexible work schedule</div><div>·         This job is fun.  It’s literally a piece of cake!</div><div>·         Cake discounts, Yummy!</div><div>·         You’ll get trained. Not only crafting cake, but on growing your career.</div><div>·         Pay range $11 to $13 an hour based on experience.</div><div><br><strong>Position Summary:</strong><br>The Nothing Bundt Cakes (NbC) Guest Service Representative creates a warm, welcoming environment for our guests, offers creative solutions for unique celebratory occasions and sells our delicious cakes. The Guest Service Representative is the first point of brand contact in our bakery and serves in an essential role to engage and bring joy to our guests, create a memorable experience and leave a positive, lasting impression.<br><br>Applicants must be 16 years of age or older.</div><div> </div><div><strong>Accountabilities/Duties: </strong></div><ul><li>Promptly greets walk-in and phone guests with genuine warmth and helpful enthusiasm to determine interests and needs.</li><li>Maintains strong product knowledge to educate guests on NbC cake distinction, size and flavor profile options, pricing, special promotions, and complimentary retail merchandise.   </li><li>Suggests additional merchandise, including balloons, candles, and cards, to complete a unique celebration. </li><li>Processes guest orders efficiently and accurately utilizing the point-of-sale system and invite guests to join NbC Email Club to benefit from special promotions and remain connected. </li><li>Upholds a clean and organized bakery presentation, which may include routine sweeping/mopping of the floor, and dusting/cleaning of countertops, windows, and other surfaces. </li><li>Replenishes retail merchandise and cake display case to ensure a strong visual presentation. </li><li>Assists the Crafter in preparing cake decorations and packaging supplies as needed. </li><li>Complies with all health and safety guidelines and NbC policies and procedures.</li><li>Maintains a consistent work attendance and punctuality record.  </li></ul><div> <strong>Core Values and Competencies:</strong> </div><ul><li><strong>Servant’s Heart</strong></li><li><strong>Spirit of a Champion </strong></li><li><strong>Genuine Connections </strong></li></ul><div><strong>Desirable Traits:</strong></div><ul><li>Exhibits high energy and strong interpersonal skills; is friendly, helpful, positive, patient, socially confident and communicative. </li><li>Enjoys interacting with people and excels at providing a superior guest experience.   </li><li>Is organized and self-motivated.  </li><li>Is comfortable with new technology and has the ability to operate a point-of-sale system. </li><li>Has the capacity to stand for extended periods of time and work in a fast-paced environment. </li></ul><div><strong>Work Availability: </strong></div><div>Must have the flexibility to work various shifts, including early mornings, evenings, weekends and holidays, based on changing business demands. <br><br><br></div><div> </div>",1100,1300,42
1682956,Barista Cashier,"<div><strong>Now Open in Jacksonville.</strong> Chefs Matthew and David Medure are taking their culinary skills to <strong>Mayo</strong> <strong>Clinic.</strong> Medure Brothers Culinary Concepts opened <strong>M Brothers at Mayo</strong>, a 220-seat, 7,000 square foot upscale-casual restaurant at the medical center’s Southside campus on San Pablo Road. The restaurant includes full-service dining plus full-service bar, and coffee shop plus a grab-and-go area. The sit-down restaurant is open both to hospital visitors and the general public.<br><br></div><div>We are looking to build our teams with positive, enthusiastic, like-minded people who share our energy and enthusiasm for creating the best dining experience for our guests.<br><br></div><div>Our <strong>Baristas</strong> perform several job duties and provide customer service. They take orders and make coffee, tea, and other drinks to customer specifications. Our baristas may also operate cash registers and credit card machines.<br><br></div><div>Baristas may field customer complaints or questions, as well. Baristas will clean coffee machines, restaurant areas, restrooms, and preparation areas during a normal shift. Baristas work to maintain good customer relations and speedy delivery of all beverages as well as complete assigned tasks from management every day.<br><br></div><div><strong>Primary Responsibilities:</strong></div><ul><li>Acts with integrity, honesty and knowledge that promotes the culture, values and mission of M Brothers</li><li>Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team</li><li>Anticipates customer and store needs by constantly evaluating environment and customers for cues</li><li>Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift </li><li>Additional duties include some food prep for grab and go items and working at the POS terminal </li><li>Delivers the guest experience that will enhance their senses</li><li>Maintains regular and punctual attendance</li></ul><div><strong>Qualifications and Skills:</strong></div><ul><li>Guest services - 1 year preferred</li><li>Food service - 1 year preferred</li><li>Barista experience - 1 year preferred</li><li>The genuine desire to provide outstanding hospitality to our guests</li><li>Professional, well groomed, and confident with an outgoing personality</li><li>Ability to clearly communicate guests’ needs to other team members</li><li>Food Handler Certification a plus and will be required within 60 days of hire</li></ul><div><strong>Benefits and Perks:</strong></div><ul><li>Food discounts at all Medure Brothers Culinary Concepts’ restaurants</li><li>Health, Dental, Vision, and Life Insurance (full time employees)</li><li>Paid Time Off (full time employees)</li><li>Flexible work schedules to accommodate school, life, and family</li><li>Fun and friendly work environment</li><li>Opportunity to learn and grow with the company</li></ul>",1200,1400,80
