jobs_id,jobs_name,jobs_description,jobs_min_compensation,jobs_max_compensation,count_apps_id
1909064,Administrative assistant/Maid Trainer,"<div>eMaids of East Queens &amp; West Nassau is growing fast and we are looking for a qualified Office Assistant to join our team in the area. eMaids is an amazing organization and we will be glad to have you as our next team member!<br>This position is unique we are looking for a full-time and qualified<strong> Office Assistant</strong> to join our team in the area. Read the whole ad so you are sure you are the right fit.<br><br>We are looking for an office person, but who is willing to clean and train our cleaners in the field. As we grow, the position will be 90% in the office and only in the field when needed.  <strong>MUST HAVE CLEANING EXPERIENCE.</strong> <br>eMaids is an amazing organization and we will be glad to have you as our next team member!<br><br><strong>RESPONSIBILITIES- <br> <br>Great potential for the right individual. Candidate Must speak Spanish-<br>This position is 4 days a week from 9:00 AM to 2:00 PM<br></strong><br><strong>IN OFFICE</strong><br>Coordinate daily scheduling<br>Answer phone calls<br>Communicate effectively with clients and employees<br>Help promote sales<br>Ensure customer satisfaction (quality and timely delivery) and budget objectives are met<br><strong>IN THE FIELD:</strong><br> <br><strong> RESPONSIBILITIES</strong><br>Supervise and run larger job site cleanings<br>Perform cleaning inspections on new maids (2-3 per week)<br>Follow up with customers who have a complaint about cleanings<br>Help interview and hire new maids<br>Train and coach new maids on cleaning standards and procedures<br>Provide onsite estimates<br><br><strong>REQUIREMENTS</strong><br> <br>eMaids is looking for true professionals who are serious about their work, passionate about cleaning, and extremely customer service oriented.  <br> <br><strong>Candidate must:</strong><br>Be legal to Work in the U. S.<br>Strong customer service and communication skills (both verbal and written)<br>Excellent computer skills<br>Very detail-oriented and follows tasks and projects through to completion<br>Be a fast learner<br>Be a team player<br>Bilingual Spanish speakers are a must<br>Candidate must have prior sales experience<br>Candidate must have at least 6 months of cleaning experience<br> <br><strong> WHY WORK FOR eMaids? You will grow with us, be our right hand!</strong></div><ul><li>Great office support</li><li>Competitive compensation package</li><li>Paid training from day one</li><li>Great opportunity for advancement</li><li>Paid time off</li><li>Flexible schedule</li><li>Bonus incentives</li><li>Great opportunity for advancement</li><li>Gas reimbursement</li><li>Bonus structure</li><li>Portable Voluntary Benefits program after 6 months</li><li>Paid Accident insurance after 6 months</li></ul><div><br><strong>ABOUT eMaids</strong><br>eMaids is a national cleaning service provider passionately concerned with giving our residential and commercial clients a sparkling transformation that surpasses expectations.<br> <br>Here at eMaids, we pride ourselves on delivering top-notch services that guarantee our customer satisfaction. We are currently seeking employees in the area who will help add value to our organization. As an employee at eMaids, you have become part of our family! We care about our employees and ensure that you get adequate office support, and paid training on the job while you enjoy a phenomenal working environment.<br> <br> We Service the following areas in East Queens: Jamaica, St Albans, Rosedale, Springfield, Gardens/Laurelton, Hollis, Queens village Cambria heights Bellerose.<br> <br>If you think you are a good fit and have a can-do attitude, we want to hear from you.<br>Apply today, we are looking to hire immediately. <br> <br>Must send salary requirements</div>",1700,1900,14
1908902,Administrative Assistant/Supervisor Trainer for Maids,"<div> </div><div><strong>JOB SUMMARY</strong> </div><div><strong>We are looking for the right person who wants a great opportunity to grow.</strong>   <strong>$250.00 sign on Bonus- Paid out over 90 days!</strong> </div><div> </div><div>This position is unique we are looking for a full-time and qualified Office Assistant to join our team in the area. Read the whole ad so you are sure you are the right fit.</div><div><strong>We are looking for an office person, but who is willing to clean and train our cleaners in the field. </strong>As we grow, the position will be 90% in the office and only in the field when needed.  <strong>MUST HAVE CLEANING EXPERIENCE</strong></div><div> </div><div>eMaids is an amazing organization and will be glad to have you as our next team member! </div><div><br> <strong>RESPONSIBILITIES- </strong> <br> <strong>Great potential for the right individual. Candidate Must speak Spanish- </strong></div><div><strong>IN OFFICE </strong></div><ul><li>Coordinate daily scheduling</li><li>Answer phone calls</li><li>Communicate effectively with clients and employees</li><li>Help promote sales</li><li>Ensure customer satisfaction (quality and timely delivery) and budget objectives are met</li></ul><div><br><strong>IN THE FIELD:</strong><br> <br><strong>RESPONSIBILITIES<br> </strong></div><ul><li>Supervise and run larger job site cleanings</li><li>Perform cleaning inspections on new maids (2-3 per week)</li><li>Follow up with customers who have a complaint about cleanings</li><li>Help interview and hire new maids</li><li>Train and coach new maids on cleaning standards and procedures</li><li>Provide onsite estimates</li></ul><div><br><strong>REQUIREMENTS</strong><br> <br>eMaids is looking for true professionals who are serious about their work, passionate about cleaning and are extremely customer service oriented.  <br><br>Candidate must:<br> </div><ul><li>Strong customer service and communication skills (both verbal and written)</li><li>Excellent computer skills</li><li>Very detail-oriented and follows tasks and projects through to completion</li><li>Be a fast learner</li><li>Be a team player </li><li>Bilingual Spanish speakers are a must</li><li>Candidate must have prior sales experience</li><li>Candidate must have at least 6 months of cleaning experience <br> <br><strong>WHY WORK FOR eMaids? You will grow with us, be our right hand!</strong><br> </li><li>Great office support</li><li>Competitive compensation package</li><li>Paid training </li><li>Paid time off </li><li>Bonus incentives </li><li>Great opportunity for advancement</li><li>Gas reimbursement</li><li>Bonus structure</li></ul><div><br><strong>ABOUT eMaids</strong><br> eMaids is a national cleaning service provider passionately concerned with giving our residential and commercial clients a sparkling transformation that surpasses expectations.<br> <br>Here at eMaids, we pride ourselves on delivering top-notch services that guarantee our customer satisfaction and we are currently seeking employees in the area that will help add value to our organization. As an employee at eMaids, you have become part of our family! We care about our employees and ensure that you get adequate office support, and paid training on the job while you enjoy a phenomenal working environment.<br> <br><br>  <br><br>If you think you are a good fit and have a can-do attitude, we want to hear from you.<br> Apply today, we are looking to hire immediately. <br><br>Must send salary requirements </div>",1900,2200,23
1894177,Buscamos personas para nuestra familia de MAID BRIGADE.,"<div>Oportunidad interesante con Maid Brigade</div><div>Quiere trabajar donde…</div><div>…donde se trata en una manera justa? …donde esta parte de un equipo? …donde puede ver los resultados de su trabajo dura? …donde puede hacer una diferencia para otras personas?a</div><div>Trabaje donde se importa.</div><div>¡Ven a trabajar a Maid Brigade! Somos una empresa de propiedad local con una reputación buena y base de clientes estable y en crecimiento. Por esta razón, buscando algunas personas especiales de unirse con nuestro equipo.</div><div>¡No necesita experiencia! Podemos enseñarle las habilidades valiosas de limpieza profesional y servicio al cliente que necesita para tener éxito a Maid Brigade y a cualquier jugar trabajaría en el futuro.</div><div>Si esta buscando por una oportunidad interesante con beneficios buenas en una industria divertida, este puede ser el trabajo para usted!</div><div> </div><div><strong>Nuestro equipo:</strong></div><div>Sea una parte de un equipo de crecimiento y de propiedad local que provee los servicios profesionales de limpieza de casas:</div><ul><li>      Estamos orgullosos de hacer una diferencia en las vidas de nuestros clientes</li><li>      Proveemos servicios de limpieza no tóxicos que tienen certificación ecológica “Green Cleaning”</li><li>      Proveemos el nivel más alto de detalle, servicio al cliente y satisfacción del cliente en la industria</li><li>      Usa nuestros coches de la impresa</li><li>      Un ambiente que promueve colaboración y crecimiento</li></ul><div> </div><div><strong>Los beneficios:</strong></div><ul><li>      Recibir los suministros, uniforme y equipo</li><li>      Entrenamiento profesional y laboral</li><li>      Tiempo libre pagado – 6 días de fiesta</li><li>      Tiempo de vacaciones sobre las horas acumuladas</li></ul><div> </div><div><strong>Los requisitos:</strong></div><ul><li>      Debe ser responsable, cortes, de actitud positiva, detallista y amable</li><li>      Responsable de suministros, llaves de los clientes, archivos y otra información personal </li></ul>",1300,1500,11
1933100,Certified Professional Maid,"<h1><strong>Looking for an opportunity to grow, come and join us at eMaids of Montgomery County !!!!</strong></h1><div><br><br></div><div><strong>WHY WORK FOR eMaids?</strong></div><div><br></div><ul><li>Great office support</li><li>Competitive compensation</li><li>Paid training from day one </li><li>Great opportunity for advancement</li><li>Paid weekly- direct deposit available</li><li>All cleaning supplies and equipment provided</li><li>5-Star Service Review Bonuses</li><li>Client Retention Bonuses</li><li>New Client Referral Bonus</li><li>1x a month a car wash on us</li><li>Every 3 months, we will give you $50 towards an oil change for your vehicle.</li></ul><div><br><strong>JOB SUMMARY<br></strong><br>eMaids is  excited to be recruiting for professional PART-TIME Professional Maid to join our team in the area. DAY SHIFT- NO EVENING AVAILABILITY.<br><br><br><strong>RESPONSIBILITIES<br></strong>You will be required to deliver quality cleaning services to our client’s residential or commercial properties:<br><br>Cleaning of various properties like (Offices, Apartments, Houses, Commercial Properties, etc.)<br><br><br><strong>REQUIREMENTS<br></strong><br><strong>**Applicants must be able to travel to different locations.<br><br>**Must live within Montgomery County (Rockville, Gaithersburg, Chevy Chase, Germantown, Takoma Park, Silver Spring, Olney , Kensington, Clarksburg, or closer to these areas) .<br></strong><br><br>Apply online and  we will get back to you ASAP to schedule the interview!</div><div><br></div><div></div>",1600,1900,1
1596825,Clean Houses  Make Friends  Have Fun    Now Hiring Molly Maid,"<div>Our amazing team is looking for House Cleaners, no experience required.</div><div><strong>Great company! Great work environment!</strong></div><div>• <strong>No nights, no weekends!</strong> Family friendly hours. Team members work 35 to 40 hours per week<br>• Great weekly pay and tips, paid training, and a family culture. Pay averages between $500-$700 per week depending on position Base Pay starts at $15 Per hour<br>• <strong>All cleaning supplies and equipment provided as well as transportation to and from</strong><br><strong>  our customers’ homes.</strong><br>• Lots of Opportunity for bonuses and incentives<br><br></div><div><strong>Maid, House Cleaning and Housekeeper Responsibilities:</strong></div><div>• Clean customer’s homes the Molly Maid way<br>• Communicate with customers and staff in a professional and courteous manner<br>• Have an eye for detail. Leave homes looking GREAT!</div><div><br>This is hard work, but can be very rewarding for people who have pride in a job well done, like<br>to help people and like to stay moving. We have a great team and are looking to add more House<br>Cleaners with great attitudes and dependability.</div><div><br>Hiring Immediately- give us a call or come see us today!</div><div>9700 Lakeshore Dr. East Indianapolis IN 46280 </div><div> </div>",1500,1700,23
1809541,Cleaning Maid Professional,"<div>Two Maids Round Rock services Austin, Round Rock, Pflugerville, Georgetown, Cedar Park, Leander, Hutto, and Taylor.</div><div><br></div><div>We provide all chemicals and equipment for our teams. </div><div><br></div><div>Our teams provide our customers with the most valuable thing we can give someone,</div><div>and that is giving them time back to spend with their families. Our work is appreciated and our teams love to see the impact their work provides to help our customers in their daily lives. Internal Growth opportunities with Two Maids and a Mop of Round Rock. We need future leaders! We are growing and need people who are future-focused!</div><div><br></div><div>Be part of our team!!</div><div><br></div><ul><li>Full-time/ Must be able to work flexible shifts Monday - Friday 7:45 am to 5:00 pm</li><li>or until finished.</li><li>No nights, No weekends, No holidays! </li><li>Earn with our Pay for Performance plan plus tips!</li><li>Employer-sponsored benefits dental, vision, and paid time off</li><li>Mileage reimbursement weekly bonus opportunity/ Incentives</li></ul><div><br></div><div>Requirements: </div><div><br></div><ul><li>Must be 18 years old or older!  </li><li>Must have your own vehicle and a valid driver’s license!  </li><li>Reliable transportation/ Valid Drivers License/ Valid Insurance  </li><li>Must be able to pass a background check</li></ul><div><br></div><div>Apply today to schedule an interview! Just click the link below, </div><div>schedule your interview and return here and finish your application. </div><div>Two Maids and A Mop Round Rock</div><div>707 E. Main St. Round Rock, TX 78664</div><div>512-677-6577</div><div><br><br></div><div>Compensation: $17.00 - $25.00 per hour</div><div><br></div><div>Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest-growing cleaning company! We provide residential cleaning services ranging from</div><div>routine weekly maintenance to deep home cleanings from top to bottom. We</div><div>recognize and reward top performers through our one of a kind Pay for Performance Plan, Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div><div></div>",1500,2500,1
1697374,Cleaning Maid Professional,"<div><strong>Welcome New Applicants for Two Maids and a Mop of Gilbert!<br>1111 North Gilbert Road Suite 116<br>Gilbert, Arizona 85234<br></strong><br> <br><strong>What you need to know:</strong></div><ul><li>We are the fastest growing cleaning company in the state receiving #1 office in Gilbert.</li><li>We service the East Valley<strong> </strong>cities of Gilbert, Chandler, Queen Creek, Mesa, and Apache Junction.</li><li>Two Maids Gilbert is a Franchise of 100 plus locations that are Nationwide (Individually Owned).  We strive together, as a team of 45 plus employees, to be the most reputable House Cleaning company in the Valley.</li><li>We offer Employee benefits including Dental/ Vison/ Health/ 401K</li><li>Mileage reimbursement/ Work Incentives/ Weekly bonus opportunities</li></ul><div><strong>Requirements:<br></strong>·        Must have availability Monday-Friday</div><div>·        Reliable transportation/ Valid Drivers License/ Insurance </div><div>·        Must be 18 years of age<br><br><strong>We believe that hard work and top performance deserve recognition.</strong></div><ul><li><strong>Employer-sponsored benefits-health, dental, vision and 401k. </strong></li><li><strong>Mileage reimbursement &amp; weekly bonus opportunity</strong></li><li><strong>Earn with our Pay For Performance Program</strong></li></ul><div><br><br></div><div>We will contact you by email, text, and phone once you have scheduled.<br><strong>Apply today to schedule an interview! Just click the link below, </strong></div><div><strong>schedule your interview and return here and finish your application. </strong></div><div><br></div><div><a href=""https://calendly.com/two-maids-gilbert/two-maids-a-mop-gilbert-interviews""><strong>Two Maids and A Mop Gilbert Interview</strong></a></div><div><br><br><br>We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""</div><div> </div><div>Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1700,2300,32
1760020,Cleaning Maid Professional,"<div>Two Maids Gilbert, services the East Valley<strong> </strong>cities of Gilbert, Chandler, Queen Creek, Mesa, and Apache Junction.</div><ul><li>We provide all chemicals and equipment for our team's. </li><li>Our team's provide our customer's the most valuable thing we can give someone, and that is giving them time back to spend with their families.  Our work is appreciated and our team's love to see the impact their work provides to help our customers in their daily lives. Internal Growth opportunities with Two Maids and a Mop of Gilbert. We need future leaders! We are growing and need people who are future focused!</li></ul><div><br></div><div><strong>Be part of our team!!</strong></div><ul><li>Full-time/ Must be able to work flexible shifts Monday - Friday 7:20am - 5:00 pm or until finished.</li><li>No nights, No weekends, No holidays! </li><li>Earn with our Pay for Performance plan plus tips!</li><li>Employer-sponsored benefits dental, vision and insurance. </li><li>Mileage reimbursement &amp; weekly bonus opportunity/ Incentives</li></ul><div><br></div><div><strong>Requirements: </strong></div><ul><li>Must be 18 years old or older!  </li><li>Must have your own vehicle and a valid driver’s license!  </li><li>Reliable transportation/ Valid Driver's License/ Valid Insurance  </li></ul><div><br></div><div><strong>We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""</strong></div><div> </div><div>Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div><div><br><strong> </strong><br><strong><br>Apply today to schedule an interview! Just click the link below, </strong></div><div><strong>schedule your interview and return here and finish your application. </strong></div><div><br></div><div><a href=""https://calendly.com/two-maids-gilbert/two-maids-a-mop-gilbert-interviews""><strong>Two Maids and A Mop Gilbert Interview</strong></a><strong><br>1111 North Gilbert Road Suite 116<br>Gilbert, Arizona 85234<br><br></strong></div>",1700,2300,7
1626631,Cleaning Maid  Subcontractor,"<div><br></div><h1><strong>NOW HIRING CLEANING  SUBCONTRACTORS!</strong></h1><div><br><br><br><strong>JOB SUMMARY*<br></strong> Are you passionate and hardworking? Does seeing neat and sparkling environment specially appeal to your nature? eMaids of Brevard is growing fast and we are looking for qualified Housekeepers/Maids to join our team in both areas. eMaids is an amazing organization and will be glad to have you as our next team member!<br> <br><strong>RESPONSIBILITIES</strong> <br>On the job, you will be required to deliver quality cleaning services to our client’s residential or commercial properties:<br><br></div><ul><li>Home and Apartment cleaning</li><li>Office cleaning</li></ul><div>This will require that you use our non-allergic products in cleaning and to follow our checklist to ensure complete client satisfaction. <br><br><strong>REQUIREMENTS</strong> <br>eMaids is looking for true professionals who are serious about their work, love to clean and are extremely customer service oriented. Candidate must:<br><br></div><ul><li>Speak and write English (Though fluency is not required)</li><li>Have at least 3-years cleaning experience</li><li>Must have a smartphone</li><li>Must have a valid Florida Drivers License &amp; Reliable Vehicle </li><li>Legal to Work in the U. S.</li></ul><div><strong>WHY WORK FOR eMaids?<br></strong><br></div><ul><li>Great office support</li><li>Competitive compensation and commission</li><li>Paid training</li><li>Must take and pass and Academy Training Test prior been consider for employment</li><li>Great opportunity for advancement</li><li>Paid weekly- direct deposit available</li></ul><div><strong>ABOUT eMaids* eMaids is a National cleaning service provider that is passionately concerned with giving our residential and commercial clients a sparkling transformation that surpasses expectations. Here at eMaids, we pride ourselves on delivering top-notch services that guarantee our customer satisfaction and we are currently seeking employees in the area that will help add value to our organization. As ambassador at eMaids, you become part of our family! We care about our Team and ensure that you get adequate office support, paid training on the job while you enjoy a phenomenal working environment.<br></strong><br></div><div> </div><div> </div>",10000,90000,2
1625288,Entry Level Maid/Cleaner $100-$150 a day,"<div><strong>Hiring Immediately!</strong><br>Tired of waiting for a response to your application? We need people now!<br><br><strong>Apply today to schedule an interview!</strong><br>We will contact you by text once you have applied.<br><br><strong>Why you should be a part of our team!</strong></div><ul><li>Full-time</li><li>No nights, No weekends, No holidays!</li><li>$15-$20 average hourly pay plus tips!</li><li>Flexible hours. - Be a part of a family-oriented work environment.</li><li>PTO after 6 months!</li><li>Employer-sponsored benefits dental, vision and insurance.</li><li>Mileage reimbursement &amp; weekly bonus opportunity.</li></ul><div><strong>Who will make a great team member?:</strong></div><ul><li>Must be 18 years old or older!</li><li>Must be able to work flexible shifts Monday - Friday 7:45 am - 5:00 pm or until finished</li><li>Must have your own vehicle and a valid driver’s license!</li><li>You have a good work ethic and enjoy serving people!</li><li>A meticulous eye for detail, nothing gets past you!</li><li>A person who has dreams to do more than clean homes!</li><li>We need future leaders! We are growing and need people who are future focused!</li></ul><div><br>**We offer a competitive compensation package that includes all of your supplies and equipment, as well as regular bonuses, awards, and incentives. We believe that hard work and top performance deserve recognition.<br>**We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""<br><br><strong>Candidates with the following experience are encouraged to apply: home health aide, caretaker, hospitality, carpet cleaners, general laborer, waiter, hotel housekeeping</strong> Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1500,2000,10
1625278,Entry Level Maid/Cleaner $100-$150 a day,"<div><strong>Hiring Immediately!</strong><br>Tired of waiting for a response to your application? We need people now!<br><br><strong>Apply today to schedule an interview!</strong><br>We will contact you by text once you have applied.<br><br><strong>Why you should be a part of our team!</strong></div><ul><li>Full-time</li><li>No nights, No weekends, No holidays!</li><li>$15-$20 average hourly pay plus tips!</li><li>Flexible hours. - Be a part of a family-oriented work environment.</li><li>PTO after 6 months!</li><li>Employer-sponsored benefits dental, vision and insurance.</li><li>Mileage reimbursement &amp; weekly bonus opportunity.</li></ul><div><strong>Who will make a great team member?:</strong></div><ul><li>Must be 18 years old or older!</li><li>Must be able to work flexible shifts Monday - Friday 7:45 am - 5:00 pm or until finished</li><li>Must have your own vehicle and a valid driver’s license!</li><li>You have a good work ethic and enjoy serving people!</li><li>A meticulous eye for detail, nothing gets past you!</li><li>A person who has dreams to do more than clean homes!</li><li>We need future leaders! We are growing and need people who are future focused!</li></ul><div><br>**We offer a competitive compensation package that includes all of your supplies and equipment, as well as regular bonuses, awards, and incentives. We believe that hard work and top performance deserve recognition.<br>**We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""<br><br><strong>Candidates with the following experience are encouraged to apply: home health aide, caretaker, hospitality, carpet cleaners, general laborer, waiter, hotel housekeeping</strong> Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1500,2000,6
1625280,Entry Level Maid/Cleaner $100-$150 a day,"<div><strong>Hiring Immediately!</strong><br>Tired of waiting for a response to your application? We need people now!<br><br><strong>Apply today to schedule an interview!</strong><br>We will contact you by text once you have applied.<br><br><strong>Why you should be a part of our team!</strong></div><ul><li>Full-time</li><li>No nights, No weekends, No holidays!</li><li>$15-$20 average hourly pay plus tips!</li><li>Flexible hours. - Be a part of a family-oriented work environment.</li><li>PTO after 6 months!</li><li>Employer-sponsored benefits dental, vision and insurance.</li><li>Mileage reimbursement &amp; weekly bonus opportunity.</li></ul><div><strong>Who will make a great team member?:</strong></div><ul><li>Must be 18 years old or older!</li><li>Must be able to work flexible shifts Monday - Friday 7:45 am - 5:00 pm or until finished</li><li>Must have your own vehicle and a valid driver’s license!</li><li>You have a good work ethic and enjoy serving people!</li><li>A meticulous eye for detail, nothing gets past you!</li><li>A person who has dreams to do more than clean homes!</li><li>We need future leaders! We are growing and need people who are future focused!</li></ul><div><br>**We offer a competitive compensation package that includes all of your supplies and equipment, as well as regular bonuses, awards, and incentives. We believe that hard work and top performance deserve recognition.<br>**We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""<br><br><strong>Candidates with the following experience are encouraged to apply: home health aide, caretaker, hospitality, carpet cleaners, general laborer, waiter, hotel housekeeping</strong> Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1500,2000,13
1625281,Entry Level Maid/Cleaner $100-$150 a day,"<div><strong>Hiring Immediately!</strong><br>Tired of waiting for a response to your application? We need people now!<br><br><strong>Apply today to schedule an interview!</strong><br>We will contact you by text once you have applied.<br><br><strong>Why you should be a part of our team!</strong></div><ul><li>Full-time</li><li>No nights, No weekends, No holidays!</li><li>$15-$20 average hourly pay plus tips!</li><li>Flexible hours. - Be a part of a family-oriented work environment.</li><li>PTO after 6 months!</li><li>Employer-sponsored benefits dental, vision and insurance.</li><li>Mileage reimbursement &amp; weekly bonus opportunity.</li></ul><div><strong>Who will make a great team member?:</strong></div><ul><li>Must be 18 years old or older!</li><li>Must be able to work flexible shifts Monday - Friday 7:45 am - 5:00 pm or until finished</li><li>Must have your own vehicle and a valid driver’s license!</li><li>You have a good work ethic and enjoy serving people!</li><li>A meticulous eye for detail, nothing gets past you!</li><li>A person who has dreams to do more than clean homes!</li><li>We need future leaders! We are growing and need people who are future focused!</li></ul><div><br>**We offer a competitive compensation package that includes all of your supplies and equipment, as well as regular bonuses, awards, and incentives. We believe that hard work and top performance deserve recognition.<br>**We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""<br><br><strong>Candidates with the following experience are encouraged to apply: home health aide, caretaker, hospitality, carpet cleaners, general laborer, waiter, hotel housekeeping</strong> Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1500,2000,5
1625282,Entry Level Maid/Cleaner $100-$150 a day,"<div><strong>Hiring Immediately!</strong><br>Tired of waiting for a response to your application? We need people now!<br><br><strong>Apply today to schedule an interview!</strong><br>We will contact you by text once you have applied.<br><br><strong>Why you should be a part of our team!</strong></div><ul><li>Full-time</li><li>No nights, No weekends, No holidays!</li><li>$15-$20 average hourly pay plus tips!</li><li>Flexible hours. - Be a part of a family-oriented work environment.</li><li>PTO after 6 months!</li><li>Employer-sponsored benefits dental, vision and insurance.</li><li>Mileage reimbursement &amp; weekly bonus opportunity.</li></ul><div><strong>Who will make a great team member?:</strong></div><ul><li>Must be 18 years old or older!</li><li>Must be able to work flexible shifts Monday - Friday 7:45 am - 5:00 pm or until finished</li><li>Must have your own vehicle and a valid driver’s license!</li><li>You have a good work ethic and enjoy serving people!</li><li>A meticulous eye for detail, nothing gets past you!</li><li>A person who has dreams to do more than clean homes!</li><li>We need future leaders! We are growing and need people who are future focused!</li></ul><div><br>**We offer a competitive compensation package that includes all of your supplies and equipment, as well as regular bonuses, awards, and incentives. We believe that hard work and top performance deserve recognition.<br>**We give back to our community by servicing cancer patients in partnership with ""Cleaning for A Reason""<br><br><strong>Candidates with the following experience are encouraged to apply: home health aide, caretaker, hospitality, carpet cleaners, general laborer, waiter, hotel housekeeping</strong> Two Maids &amp; A Mop was recently recognized by Inc. Magazine as the nation's fastest growing cleaning company! We provide residential cleaning services that range from routine weekly maintenance to deep cleanings of a home from top to bottom. We recognize and reward top performers through our one of a kind Pay for Performance Plan, and we are passionate about our partnership with “Cleaning For A Reason” where we provide free cleanings to individuals undergoing cancer treatment. Our growth and success allow us to provide opportunities to individuals who want to be a part of something bigger and find satisfaction in a career as a Professional House Cleaner!</div>",1500,2000,14
